cell_id,start_date,end_date,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction
cell_12_18,2024-03-01,2024-04-01,40.70676452636718,3.770772392519667,13.854545454545452,13,14,4,1.0
cell_12_19,2024-03-01,2024-04-01,38.83764983170868,3.717944913457155,14.509933774834437,13,15,4,1.0
cell_13_00,2024-03-01,2024-04-01,51.18249160546257,7.1674382431117385,13.541516245487362,13,14,4,1.0
cell_13_01,2024-03-01,2024-04-01,48.18567260343637,6.907315513198856,13.123134328358212,13,14,4,1.0
cell_13_02,2024-03-01,2024-04-01,52.71268703688437,3.0250453821988503,13.686567164179104,13,14,4,1.0
cell_13_03,2024-03-01,2024-04-01,70.26063628694905,11.329230038026035,14.0,14,14,4,1.0
cell_13_04,2024-03-01,2024-04-01,64.96223494347106,9.181712174148528,14.0,14,14,4,1.0
cell_13_05,2024-03-01,2024-04-01,50.397683099405654,5.412438995158625,14.0,14,14,4,1.0
cell_13_06,2024-03-01,2024-04-01,43.59031602552721,5.418662425353444,14.0,14,14,4,1.0
cell_13_07,2024-03-01,2024-04-01,40.551079179274545,0.8850002288818359,14.0,14,14,2,1.0
cell_13_08,2024-03-01,2024-04-01,37.234199765003304,3.05358193297537,14.007434944237916,14,15,3,1.0
cell_13_09,2024-03-01,2024-04-01,32.24193139058507,5.69999885559082,15.0,15,15,2,1.0
cell_13_10,2024-03-01,2024-04-01,20.19952766071666,4.115647180820452,14.974545454545455,14,15,4,1.0
cell_13_11,2024-03-01,2024-04-01,12.515182659871552,4.985150712871489,14.906976744186045,14,15,4,1.0
cell_13_12,2024-03-01,2024-04-01,18.44017120256816,8.781563217191856,15.0,15,15,4,1.0
cell_13_13,2024-03-01,2024-04-01,32.10910434153542,15.268084272389508,15.0,15,15,4,1.0
cell_13_14,2024-03-01,2024-04-01,56.3229591712523,6.6463008993032116,14.681647940074908,14,15,4,1.0
cell_13_15,2024-03-01,2024-04-01,59.29652801912221,10.193709215869648,14.0,14,14,4,1.0
cell_13_16,2024-03-01,2024-04-01,48.90771173287141,3.4839087445925334,14.0,14,14,4,1.0
cell_13_17,2024-03-01,2024-04-01,50.30993388736763,5.91946341022326,13.524916943521594,13,14,4,1.0
cell_13_18,2024-03-01,2024-04-01,48.25691503751076,6.349293289477415,13.0,13,13,4,1.0
cell_13_19,2024-03-01,2024-04-01,46.404999889544584,3.50466391754728,14.156716417910447,13,15,4,1.0
